url,last_commit,stars
"https://github.com/gbeced/pyalgotrade","2023-11-13","4646"
"https://github.com/gbeced/basana","2025-12-29","820"
"https://github.com/bukosabino/ta","2026-03-18","5008"
"https://github.com/joequant/algobroker","2016-03-31","97"
"https://github.com/cuemacro/finmarketpy","2025-03-10","3730"
"https://github.com/metaperl/binary-martingale","2017-10-16","48"
"https://github.com/foolcage/fooltrader","2023-05-22","1184"
"https://github.com/zvtvz/zvt","2026-03-07","4083"
"https://github.com/alpacahq/pylivetrader","2022-10-04","683"
"https://github.com/alpacahq/pipeline-live","2023-07-25","207"
"https://github.com/quantrocket-llc/zipline-extensions","2020-04-17","18"
"https://github.com/quantrocket-llc/moonshot","2025-11-19","259"
"https://github.com/robertmartin8/PyPortfolioOpt","2026-03-27","5633"
"https://github.com/tradytics/eiten","2022-07-30","3192"
"https://github.com/dppalomar/riskparity.py","2025-12-02","319"
"https://github.com/hudson-and-thames/mlfinlab","2023-10-02","4664"
"https://github.com/abbass2/pyqstrat","2023-11-05","371"
"https://github.com/edouardpoitras/NowTrade","2017-02-08","101"
"https://github.com/fja05680/pinkfish","2026-04-01","293"
"https://github.com/timkpaine/aat","2026-03-30","800"
"https://github.com/enigmampc/catalyst","2022-11-26","2552"
"https://github.com/ranaroussi/quantstats","2026-01-13","6951"
"https://github.com/ranaroussi/qtpylib","2021-09-22","2256"
"https://github.com/constverum/Quantdom","2022-07-06","762"
"https://github.com/freqtrade/freqtrade","2026-04-12","48630"
"https://github.com/chrisconlan/algorithmic-trading-with-python","2021-06-01","3280"
"https://github.com/jankrepl/deepdow","2024-01-24","1127"
"https://github.com/microsoft/qlib","2026-03-10","40625"
"https://github.com/stefan-jansen/machine-learning-for-trading","2024-08-18","17031"
"https://github.com/ScottfreeLLC/AlphaPy","2025-08-24","1710"
"https://github.com/jesse-ai/jesse","2026-04-09","7658"
"https://github.com/ricequant/rqalpha","2026-04-09","6292"
"https://github.com/AI4Finance-LLC/FinRL-Library","2026-04-05","14730"
"https://github.com/achillesrasquinha/bulbea","2021-01-17","2275"
"https://github.com/ajhpark/ib_nope","2021-04-22","33"
"https://github.com/Drakkar-Software/OctoBot","2026-04-12","5578"
"https://github.com/mementum/bta-lib","2022-01-25","498"
"https://github.com/huseinzol05/Stock-Prediction-Models","2023-04-16","9296"
"https://github.com/jmrichardson/tuneta","2023-10-13","460"
"https://github.com/kieran-mackle/AutoTrader","2025-05-04","1242"
"https://github.com/jrmeier/fast-trade","2026-03-11","542"
"https://github.com/quarkfin/qf-lib","2026-04-08","912"
"https://github.com/alexgolec/tda-api","2024-06-16","1315"
"https://github.com/polakowo/vectorbt","2026-03-26","7155"
"https://github.com/QuantConnect/Lean","2026-04-10","18371"
"https://github.com/jrmeier/fast-trade","2026-03-11","542"
"https://github.com/robcarver17/pysystemtrade","2026-04-02","3252"
"https://github.com/rafa-rod/pytrendseries","2026-04-04","163"
"https://github.com/DrAshBooth/PyLOB","2023-01-01","200"
"https://github.com/edtechre/pybroker","2026-03-05","3261"
"https://github.com/Drakkar-Software/OctoBot-Script","2026-04-10","39"
"https://github.com/nkaz001/hftbacktest","2025-12-23","3929"
"https://github.com/vnpy/vnpy","2026-01-14","39279"
"https://github.com/asavinov/intelligent-trading-bot","2026-04-07","1661"
"https://github.com/enzoampil/fastquant","2023-09-15","1745"
"https://github.com/nautechsystems/nautilus_trader","2026-04-12","21823"
"https://github.com/bsdz/yabte","2026-02-15","6"
"https://github.com/tradingstrategy-ai/getting-started","2026-03-21","212"
"https://github.com/fasiondog/hikyuu","2026-04-09","3082"
"https://github.com/jensnesten/rust_bt","2026-01-05","62"
"https://github.com/GuntharDeNiro/gunbot-quant","2025-08-19","44"
"https://github.com/StrateQueue/StrateQueue","2025-12-30","176"
"https://github.com/auto-differentiation/QuantLib-Risks-Py","2026-04-02","20"
"https://github.com/auto-differentiation/xad-py","2026-04-02","19"
"https://github.com/quantopian/pyfolio","2023-12-23","6283"
"https://github.com/quantopian/empyrical","2024-07-26","1479"
"https://github.com/rsvp/fecon235","2023-01-20","1257"
"https://github.com/benjaminmgross/visualize-wealth","2015-06-10","147"
"https://github.com/wegamekinglc/VisualPortfolio","2017-02-28","107"
"https://github.com/Marigold/universal-portfolios","2025-09-11","854"
"https://github.com/fmilthaler/FinQuant","2023-11-04","1739"
"https://github.com/ssantoshp/Empyrial","2025-09-14","1058"
"https://github.com/bbcho/risktools-dev","2026-02-11","39"
"https://github.com/dcajasn/Riskfolio-Lib","2026-03-25","4051"
"https://github.com/stefan-jansen/empyrical-reloaded","2025-12-12","106"
"https://github.com/stefan-jansen/pyfolio-reloaded","2025-12-15","582"
"https://github.com/fortitudo-tech/fortitudo.tech","2026-02-19","291"
"https://github.com/omichauhan-lgtm/quantitative-finance-tools","2025-12-13","4"
"https://github.com/quantopian/alphalens","2024-02-12","4217"
"https://github.com/stefan-jansen/alphalens-reloaded","2025-12-15","568"
"https://github.com/Heerozh/spectre","2025-04-15","791"
"https://github.com/KVignesh122/AssetNewsSentimentAnalyzer","2024-07-27","194"
"https://github.com/gnzsnz/jupyter-quant","2024-06-14","18"
"https://github.com/bashtage/arch","2026-04-06","1504"
"https://github.com/quantmind/dynts","2016-11-02","87"
"https://github.com/RJT1990/pyflux","2023-10-24","2141"
"https://github.com/blue-yonder/tsfresh","2025-11-15","9169"
